Column1,name,location,area_sqft,washrooms,bedrooms,city ,status,price,parking,ac,hardwood_floors,dishwasher,Fireplace,country,roofdeck, storage,pets
34,"3 BHK Apartment in Goyal And Co And HN Safal Orchid HeavenShela, Ahmedabad","Shela, Ahmedabad",1985,No Deposit3 bathroomsEast facing,3 BHK Rental Property in Shela Ahmedabad:,Ahmedabad,UnfurnishedStatus,"23,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
35,"3 BHK ApartmentPaldi, Ahmedabad","Paldi, Ahmedabad",2300,No DepositEast facing,3 BHK Rental Property in Paldi Ahmedabad:,Ahmedabad,FurnishedStatus,"50,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
36,"2 BHK ApartmentGhatlodiya, Ahmedabad","Ghatlodiya, Ahmedabad",1250,No Deposit2 bathroomsEast facing,2 BHK Rental Property in Ghatlodiya Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"13,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
37,"3 BHK Independent HousePrahlad Nagar, Ahmedabad","Prahlad Nagar, Ahmedabad",1755,No Deposit3 bathroomsEast facing,3 BHK Rental Property in Prahlad Nagar Ahmedabad:,Ahmedabad,UnfurnishedStatus,"50,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
38,"2 BHK ApartmentVastrapur, Ahmedabad","Vastrapur, Ahmedabad",1000,No Deposit2 bathrooms,2 BHK Rental Property in Vastrapur Ahmedabad:,Ahmedabad,UnfurnishedStatus,"20,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
39,"2 BHK ApartmentNavrangpura, Ahmedabad","Navrangpura, Ahmedabad",1000,No Deposit2 bathroomsEast facing,2 BHK Rental Property in Navrangpura Ahmedabad:,Ahmedabad,FurnishedStatus,"25,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
40,"3 BHK Apartment in Savvy Swaraaj Sports LivingGota, Ahmedabad","Gota, Ahmedabad",1730,No Deposit3 bathrooms,3 BHK Rental Property in Gota Ahmedabad:,Ahmedabad,UnfurnishedStatus,"18,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
41,"4 BHK Apartment in JP Iscon PlatinumBopal, Ahmedabad","Bopal, Ahmedabad",2965,No Deposit4 bathroomsEast facing,4 BHK Rental Property in Bopal Ahmedabad:,Ahmedabad,FurnishedStatus,"65,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
42,"3 BHK Apartment in Gayatri Maitri Shiv GreensMotera, Ahmedabad","Motera, Ahmedabad",1632,No Deposit3 bathroomsNorth facing,3 BHK Rental Property in Motera Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"17,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
43,"3 BHK Apartment in Bakeri Sumadhur 2Ambavadi, Ahmedabad","Ambavadi, Ahmedabad",1995,No Deposit3 bathroomsEast facing,3 BHK Rental Property in Ambavadi Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"30,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
